Found 2517 video directories; workers=8; fps=auto; dry_run=False
[1/2517] actionclipautoautotrain00005: frames=281, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00005.avi), written=281
[2/2517] actionclipautoautotrain00001: frames=456, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00001.avi), written=456
[3/2517] actionclipautoautotrain00002: frames=231, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00002.avi), written=231
[4/2517] actionclipautoautotrain00008: frames=306, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00008.avi), written=306
[5/2517] actionclipautoautotrain00003: frames=331, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00003.avi), written=331
[6/2517] actionclipautoautotrain00006: frames=581, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00006.avi), written=581
[7/2517] actionclipautoautotrain00007: frames=381, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00007.avi), written=381
[8/2517] actionclipautoautotrain00004: frames=356, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00004.avi), written=356
[9/2517] actionclipautoautotrain00013: frames=631, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00013.avi), written=631
[10/2517] actionclipautoautotrain00015: frames=356, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00015.avi), written=356
[11/2517] actionclipautoautotrain00010: frames=381, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00010.avi), written=381
[12/2517] actionclipautoautotrain00016: frames=556, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00016.avi), written=556
[13/2517] actionclipautoautotrain00011: frames=881, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00011.avi), written=881
[14/2517] actionclipautoautotrain00014: frames=531, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00014.avi), written=531
[15/2517] actionclipautoautotrain00020: frames=231, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00020.avi), written=231
[16/2517] actionclipautoautotrain00021: frames=281, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00021.avi), written=281
[17/2517] actionclipautoautotrain00019: frames=281, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00019.avi), written=281
[18/2517] actionclipautoautotrain00009: frames=2657, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00009.avi), written=2657
[19/2517] actionclipautoautotrain00017: frames=1705, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00017.avi), written=1705
[20/2517] actionclipautoautotrain00022: frames=256, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00022.avi), written=256
[21/2517] actionclipautoautotrain00023: frames=406, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00023.avi), written=406
[22/2517] actionclipautoautotrain00012: frames=1880, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00012.avi), written=1880
[23/2517] actionclipautoautotrain00028: frames=281, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00028.avi), written=281
[24/2517] actionclipautoautotrain00027: frames=231, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00027.avi), written=231
[25/2517] actionclipautoautotrain00025: frames=431, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00025.avi), written=431
[26/2517] actionclipautoautotrain00024: frames=1430, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00024.avi), written=1430
[27/2517] actionclipautoautotrain00018: frames=1881, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00018.avi), written=1881
[28/2517] actionclipautoautotrain00029: frames=281, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00029.avi), written=281
[29/2517] actionclipautoautotrain00030: frames=505, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00030.avi), written=505
[30/2517] actionclipautoautotrain00032: frames=331, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00032.avi), written=331
[31/2517] actionclipautoautotrain00026: frames=806, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00026.avi), written=806
[32/2517] actionclipautoautotrain00038: frames=306, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00038.avi), written=306
[33/2517] actionclipautoautotrain00035: frames=556, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00035.avi), written=556
[34/2517] actionclipautoautotrain00036: frames=556, subjects=4, fps=24.995 (ffprobe:actionclipautoautotrain00036.avi), written=556
[35/2517] actionclipautoautotrain00037: frames=1056, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00037.avi), written=1056
[36/2517] actionclipautoautotrain00039: frames=306, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00039.avi), written=306
[37/2517] actionclipautoautotrain00034: frames=931, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00034.avi), written=931
[38/2517] actionclipautoautotrain00031: frames=1231, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00031.avi), written=1231
[39/2517] actionclipautoautotrain00045: frames=281, subjects=4, fps=24.995 (ffprobe:actionclipautoautotrain00045.avi), written=281
[40/2517] actionclipautoautotrain00041: frames=256, subjects=4, fps=24.995 (ffprobe:actionclipautoautotrain00041.avi), written=256
[41/2517] actionclipautoautotrain00043: frames=231, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00043.avi), written=231
[42/2517] actionclipautoautotrain00033: frames=606, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00033.avi), written=606
[43/2517] actionclipautoautotrain00044: frames=731, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00044.avi), written=731
[44/2517] actionclipautoautotrain00046: frames=306, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00046.avi), written=306
[45/2517] actionclipautoautotrain00047: frames=656, subjects=4, fps=24.995 (ffprobe:actionclipautoautotrain00047.avi), written=656
[46/2517] actionclipautoautotrain00042: frames=1181, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00042.avi), written=1181
[47/2517] actionclipautoautotrain00040: frames=1755, subjects=5, fps=24.995 (ffprobe:actionclipautoautotrain00040.avi), written=1755
[48/2517] actionclipautoautotrain00050: frames=375, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00050.avi), written=375
[49/2517] actionclipautoautotrain00052: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00052.avi), written=231
[50/2517] actionclipautoautotrain00048: frames=518, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00048.avi), written=518
[51/2517] actionclipautoautotrain00049: frames=590, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00049.avi), written=590
[52/2517] actionclipautoautotrain00051: frames=255, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00051.avi), written=255
[53/2517] actionclipautoautotrain00053: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00053.avi), written=231
[54/2517] actionclipautoautotrain00056: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00056.avi), written=279
[55/2517] actionclipautoautotrain00054: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00054.avi), written=231
[56/2517] actionclipautoautotrain00058: frames=231, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00058.avi), written=231
[57/2517] actionclipautoautotrain00057: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00057.avi), written=279
[58/2517] actionclipautoautotrain00060: frames=303, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00060.avi), written=303
[59/2517] actionclipautoautotrain00062: frames=351, subjects=4, fps=25 (ffprobe:actionclipautoautotrain00062.avi), written=351
[60/2517] actionclipautoautotrain00061: frames=806, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00061.avi), written=806
[61/2517] actionclipautoautotrain00059: frames=1190, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00059.avi), written=1190
[62/2517] actionclipautoautotrain00066: frames=256, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00066.avi), written=256
[63/2517] actionclipautoautotrain00063: frames=279, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00063.avi), written=279
[64/2517] actionclipautoautotrain00055: frames=759, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00055.avi), written=759
[65/2517] actionclipautoautotrain00064: frames=375, subjects=5, fps=25 (ffprobe:actionclipautoautotrain00064.avi), written=375
[66/2517] actionclipautoautotrain00067: frames=306, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00067.avi), written=306
[67/2517] actionclipautoautotrain00069: frames=256, subjects=4, fps=23.976 (ffprobe:actionclipautoautotrain00069.avi), written=256
[68/2517] actionclipautoautotrain00071: frames=231, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00071.avi), written=231
[69/2517] actionclipautoautotrain00070: frames=331, subjects=5, fps=23.976 (ffprobe:actionclipautoautotrain00070.avi), written=331
