nohup: ignoring input
Using device: cuda:1
Run checkpoints will be saved to: training_outputs/ckpts/20260713_012129
Concept branches | visual_concept_on=True | temporal_concepts_on=False | visual_concept_logit_scale=1.0
Train: 21351 windows (/data/quantization/zaima/dh1k/training) | Val: 3722 windows (/data/quantization/zaima/dh1k/testing) | window_len=16
Initialized saliency bias to logit(0.0177) = -4.0163 for: final_upsample_head.head, patch_logit_head
Backbone fine-tuning enabled | effective_batch_size=4 | micro_batch_size=4 | grad_accum_steps=1 | gradient_checkpointing=False | visual_equiv=off

Epoch 1/100

Train epoch 1:   0%|          | 0/5338 [00:00<?, ?it/s]
Train epoch 1:   0%|          | 0/5338 [00:08<?, ?it/s, loss=0.9804]
Train epoch 1:   0%|          | 1/5338 [00:08<12:00:56,  8.11s/it, loss=0.9804]
Train epoch 1:   0%|          | 1/5338 [00:08<12:00:56,  8.11s/it, loss=0.9239]
Train epoch 1:   0%|          | 2/5338 [00:08<5:13:46,  3.53s/it, loss=0.9239] 
Train epoch 1:   0%|          | 2/5338 [00:08<5:13:46,  3.53s/it, loss=0.9206]
Train epoch 1:   0%|          | 3/5338 [00:08<3:03:21,  2.06s/it, loss=0.9206]
Train epoch 1:   0%|          | 3/5338 [00:09<3:03:21,  2.06s/it, loss=0.7846]
Train epoch 1:   0%|          | 4/5338 [00:09<2:02:12,  1.37s/it, loss=0.7846]
Train epoch 1:   0%|          | 4/5338 [00:09<2:02:12,  1.37s/it, loss=0.8734]
Train epoch 1:   0%|          | 5/5338 [00:09<1:29:03,  1.00s/it, loss=0.8734]
Train epoch 1:   0%|          | 5/5338 [00:09<1:29:03,  1.00s/it, loss=0.6718]
Train epoch 1:   0%|          | 6/5338 [00:09<1:08:46,  1.29it/s, loss=0.6718]
Train epoch 1:   0%|          | 6/5338 [00:10<1:08:46,  1.29it/s, loss=0.4828]
Train epoch 1:   0%|          | 7/5338 [00:10<57:16,  1.55it/s, loss=0.4828]  
Train epoch 1:   0%|          | 7/5338 [00:10<57:16,  1.55it/s, loss=0.5933]
Train epoch 1:   0%|          | 8/5338 [00:10<49:25,  1.80it/s, loss=0.5933]
Train epoch 1:   0%|          | 8/5338 [00:10<49:25,  1.80it/s, loss=0.4581]
Train epoch 1:   0%|          | 9/5338 [00:10<44:09,  2.01it/s, loss=0.4581]
Train epoch 1:   0%|          | 9/5338 [00:11<44:09,  2.01it/s, loss=0.4476]
Train epoch 1:   0%|          | 10/5338 [00:11<40:45,  2.18it/s, loss=0.4476]
Train epoch 1:   0%|          | 10/5338 [00:11<40:45,  2.18it/s, loss=0.5803]
Train epoch 1:   0%|          | 11/5338 [00:11<37:48,  2.35it/s, loss=0.5803]
Train epoch 1:   0%|          | 11/5338 [00:11<37:48,  2.35it/s, loss=0.4782]
Train epoch 1:   0%|          | 12/5338 [00:11<36:35,  2.43it/s, loss=0.4782]
Train epoch 1:   0%|          | 12/5338 [00:12<36:35,  2.43it/s, loss=0.2788]
Train epoch 1:   0%|          | 13/5338 [00:12<34:59,  2.54it/s, loss=0.2788]
Train epoch 1:   0%|          | 13/5338 [00:12<34:59,  2.54it/s, loss=-0.0706]
Train epoch 1:   0%|          | 14/5338 [00:12<33:50,  2.62it/s, loss=-0.0706]
Train epoch 1:   0%|          | 14/5338 [00:13<33:50,  2.62it/s, loss=0.3198] 
Train epoch 1:   0%|          | 15/5338 [00:13<33:04,  2.68it/s, loss=0.3198]
Train epoch 1:   0%|          | 15/5338 [00:13<33:04,  2.68it/s, loss=0.2924]
Train epoch 1:   0%|          | 16/5338 [00:13<33:24,  2.66it/s, loss=0.2924]
Train epoch 1:   0%|          | 16/5338 [00:13<33:24,  2.66it/s, loss=-0.0051]
Train epoch 1:   0%|          | 17/5338 [00:13<33:35,  2.64it/s, loss=-0.0051]
Train epoch 1:   0%|          | 17/5338 [00:14<33:35,  2.64it/s, loss=0.1144] 
Train epoch 1:   0%|          | 18/5338 [00:14<33:09,  2.67it/s, loss=0.1144]
Train epoch 1:   0%|          | 18/5338 [00:14<33:09,  2.67it/s, loss=0.3021]
Train epoch 1:   0%|          | 19/5338 [00:14<33:11,  2.67it/s, loss=0.3021]
Train epoch 1:   0%|          | 19/5338 [00:14<33:11,  2.67it/s, loss=0.5359]
Train epoch 1:   0%|          | 20/5338 [00:14<33:03,  2.68it/s, loss=0.5359]
Train epoch 1:   0%|          | 20/5338 [00:15<33:03,  2.68it/s, loss=0.4644]
Train epoch 1:   0%|          | 21/5338 [00:15<32:47,  2.70it/s, loss=0.4644]
Train epoch 1:   0%|          | 21/5338 [00:15<32:47,  2.70it/s, loss=-0.2556]
Train epoch 1:   0%|          | 22/5338 [00:15<32:46,  2.70it/s, loss=-0.2556]
Train epoch 1:   0%|          | 22/5338 [00:15<32:46,  2.70it/s, loss=-0.2338]
Train epoch 1:   0%|          | 23/5338 [00:15<32:31,  2.72it/s, loss=-0.2338]
Train epoch 1:   0%|          | 23/5338 [00:16<32:31,  2.72it/s, loss=-0.2179]
Train epoch 1:   0%|          | 24/5338 [00:16<32:13,  2.75it/s, loss=-0.2179]
Train epoch 1:   0%|          | 24/5338 [00:16<32:13,  2.75it/s, loss=-0.2600]
Train epoch 1:   0%|          | 25/5338 [00:16<32:06,  2.76it/s, loss=-0.2600]
Train epoch 1:   0%|          | 25/5338 [00:17<32:06,  2.76it/s, loss=-0.6306]
Train epoch 1:   0%|          | 26/5338 [00:17<31:51,  2.78it/s, loss=-0.6306]
Train epoch 1:   0%|          | 26/5338 [00:17<31:51,  2.78it/s, loss=-0.3195]
Train epoch 1:   1%|          | 27/5338 [00:17<31:10,  2.84it/s, loss=-0.3195]
Train epoch 1:   1%|          | 27/5338 [00:17<31:10,  2.84it/s, loss=-0.1224]
Train epoch 1:   1%|          | 28/5338 [00:17<31:23,  2.82it/s, loss=-0.1224]
Train epoch 1:   1%|          | 28/5338 [00:18<31:23,  2.82it/s, loss=0.0133] 
Train epoch 1:   1%|          | 29/5338 [00:18<30:54,  2.86it/s, loss=0.0133]
Train epoch 1:   1%|          | 29/5338 [00:18<30:54,  2.86it/s, loss=-0.6801]
Train epoch 1:   1%|          | 30/5338 [00:18<30:56,  2.86it/s, loss=-0.6801]
Train epoch 1:   1%|          | 30/5338 [00:18<30:56,  2.86it/s, loss=-0.4993]
Train epoch 1:   1%|          | 31/5338 [00:18<31:02,  2.85it/s, loss=-0.4993]
Train epoch 1:   1%|          | 31/5338 [00:19<31:02,  2.85it/s, loss=0.3677] 
Train epoch 1:   1%|          | 32/5338 [00:19<31:24,  2.82it/s, loss=0.3677]
Train epoch 1:   1%|          | 32/5338 [00:19<31:24,  2.82it/s, loss=-0.3988]
Train epoch 1:   1%|          | 33/5338 [00:19<31:07,  2.84it/s, loss=-0.3988]
Train epoch 1:   1%|          | 33/5338 [00:19<31:07,  2.84it/s, loss=-0.1593]
Train epoch 1:   1%|          | 34/5338 [00:19<30:42,  2.88it/s, loss=-0.1593]
Train epoch 1:   1%|          | 34/5338 [00:20<30:42,  2.88it/s, loss=0.0289] 
Train epoch 1:   1%|          | 35/5338 [00:20<30:57,  2.85it/s, loss=0.0289]
Train epoch 1:   1%|          | 35/5338 [00:20<30:57,  2.85it/s, loss=-0.5102]
Train epoch 1:   1%|          | 36/5338 [00:20<31:05,  2.84it/s, loss=-0.5102]
Train epoch 1:   1%|          | 36/5338 [00:20<31:05,  2.84it/s, loss=-0.8457]
Train epoch 1:   1%|          | 37/5338 [00:20<31:14,  2.83it/s, loss=-0.8457]
Train epoch 1:   1%|          | 37/5338 [00:21<31:14,  2.83it/s, loss=-0.2513]
Train epoch 1:   1%|          | 38/5338 [00:21<31:14,  2.83it/s, loss=-0.2513]
Train epoch 1:   1%|          | 38/5338 [00:21<31:14,  2.83it/s, loss=-1.0790]
Train epoch 1:   1%|          | 39/5338 [00:21<30:54,  2.86it/s, loss=-1.0790]
Train epoch 1:   1%|          | 39/5338 [00:21<30:54,  2.86it/s, loss=-0.8614]
Train epoch 1:   1%|          | 40/5338 [00:21<31:11,  2.83it/s, loss=-0.8614]
Train epoch 1:   1%|          | 40/5338 [00:22<31:11,  2.83it/s, loss=-0.5899]
Train epoch 1:   1%|          | 41/5338 [00:22<31:32,  2.80it/s, loss=-0.5899]
Train epoch 1:   1%|          | 41/5338 [00:22<31:32,  2.80it/s, loss=-0.6259]
Train epoch 1:   1%|          | 42/5338 [00:22<31:25,  2.81it/s, loss=-0.6259]
Train epoch 1:   1%|          | 42/5338 [00:23<31:25,  2.81it/s, loss=-0.3176]
Train epoch 1:   1%|          | 43/5338 [00:23<30:53,  2.86it/s, loss=-0.3176]
Train epoch 1:   1%|          | 43/5338 [00:23<30:53,  2.86it/s, loss=-0.4253]
Train epoch 1:   1%|          | 44/5338 [00:23<30:36,  2.88it/s, loss=-0.4253]
Train epoch 1:   1%|          | 44/5338 [00:23<30:36,  2.88it/s, loss=-0.3795]
Train epoch 1:   1%|          | 45/5338 [00:23<30:21,  2.91it/s, loss=-0.3795]
Train epoch 1:   1%|          | 45/5338 [00:24<30:21,  2.91it/s, loss=-0.3017]
Train epoch 1:   1%|          | 46/5338 [00:24<30:37,  2.88it/s, loss=-0.3017]
Train epoch 1:   1%|          | 46/5338 [00:24<30:37,  2.88it/s, loss=-0.2363]
Train epoch 1:   1%|          | 47/5338 [00:24<31:01,  2.84it/s, loss=-0.2363]
Train epoch 1:   1%|          | 47/5338 [00:24<31:01,  2.84it/s, loss=-0.2034]
Train epoch 1:   1%|          | 48/5338 [00:24<30:29,  2.89it/s, loss=-0.2034]
Train epoch 1:   1%|          | 48/5338 [00:25<30:29,  2.89it/s, loss=-0.7747]
Train epoch 1:   1%|          | 49/5338 [00:25<30:50,  2.86it/s, loss=-0.7747]
Train epoch 1:   1%|          | 49/5338 [00:25<30:50,  2.86it/s, loss=-0.9516]
Train epoch 1:   1%|          | 50/5338 [00:25<31:03,  2.84it/s, loss=-0.9516]
Train epoch 1:   1%|          | 50/5338 [00:25<31:03,  2.84it/s, loss=-0.1389]
Train epoch 1:   1%|          | 51/5338 [00:25<31:16,  2.82it/s, loss=-0.1389]
Train epoch 1:   1%|          | 51/5338 [00:26<31:16,  2.82it/s, loss=-0.9725]
Train epoch 1:   1%|          | 52/5338 [00:26<30:47,  2.86it/s, loss=-0.9725]
Train epoch 1:   1%|          | 52/5338 [00:26<30:47,  2.86it/s, loss=-1.0109]
Train epoch 1:   1%|          | 53/5338 [00:26<31:00,  2.84it/s, loss=-1.0109]
Train epoch 1:   1%|          | 53/5338 [00:26<31:00,  2.84it/s, loss=-0.5823]
Train epoch 1:   1%|          | 54/5338 [00:26<31:10,  2.83it/s, loss=-0.5823]
Train epoch 1:   1%|          | 54/5338 [00:27<31:10,  2.83it/s, loss=-1.7132]
Train epoch 1:   1%|          | 55/5338 [00:27<30:42,  2.87it/s, loss=-1.7132]
Train epoch 1:   1%|          | 55/5338 [00:27<30:42,  2.87it/s, loss=-0.0328]
Train epoch 1:   1%|          | 56/5338 [00:27<30:09,  2.92it/s, loss=-0.0328]
Train epoch 1:   1%|          | 56/5338 [00:27<30:09,  2.92it/s, loss=-0.4102]
Train epoch 1:   1%|          | 57/5338 [00:27<30:31,  2.88it/s, loss=-0.4102]
Train epoch 1:   1%|          | 57/5338 [00:28<30:31,  2.88it/s, loss=-1.1259]
Train epoch 1:   1%|          | 58/5338 [00:28<30:01,  2.93it/s, loss=-1.1259]
Train epoch 1:   1%|          | 58/5338 [00:28<30:01,  2.93it/s, loss=-0.5273]
Train epoch 1:   1%|          | 59/5338 [00:28<30:07,  2.92it/s, loss=-0.5273]
Train epoch 1:   1%|          | 59/5338 [00:28<30:07,  2.92it/s, loss=-1.2244]
Train epoch 1:   1%|          | 60/5338 [00:28<29:56,  2.94it/s, loss=-1.2244]
Train epoch 1:   1%|          | 60/5338 [00:29<29:56,  2.94it/s, loss=-0.5606]
